Coord,APHRO,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
16.25_104.75,0.0,0.4783389712793408,2.1707462905178816,1.908843966036965,1.4708934776878235,,1.3286155584786332,1.4931062713719694,1.8327975216684607,temp,JJASO,Day
16.25_105.25,0.0,0.4872414373839765,2.177257771475558,1.8688948012023472,1.439490210465903,,1.290533108599532,1.469095359686361,1.741059372405962,temp,JJASO,Day
16.25_105.75,0.0,0.543498738760439,2.1466576645026567,1.8811479595325973,1.3569939977264436,,1.340816765913221,1.398649619877149,1.6322189289431583,temp,JJASO,Day
16.25_106.25,0.0,0.5467398646289993,2.0412772675497393,1.8156707089455122,1.2777289834913597,,1.4223109529689875,1.2577613938632033,1.6582877108166312,temp,JJASO,Day
16.25_106.75,0.0,0.5361772300450287,1.8312067074814005,1.5724112816327702,1.2381074640819931,,1.0606156228490902,1.1486408457002368,1.7421582424432012,temp,JJASO,Day
16.25_107.25,0.0,0.5176165690775775,1.684594582197606,1.6135595343897562,1.2609714652807342,,1.095812448405526,1.2084540235737744,1.8082331493091905,temp,JJASO,Day
16.75_101.75,0.0,2.4273965195711473,3.1158344183473834,3.106147800815246,2.8223950863372202,,2.77110320856734,3.104662334078182,3.094972172258515,temp,JJASO,Day
16.75_102.25,0.0,2.4667591476676836,3.248979462247668,3.1703721249427987,2.8822375696599494,,2.838185236990316,3.399266137739391,3.2618184761252205,temp,JJASO,Day
16.75_102.75,4.2146848510894035e-08,2.486109826805271,3.329799408049066,3.228880018262178,2.8925178512186056,,2.8492532434320106,3.2765749313282444,3.3065494248454836,temp,JJASO,Day
16.75_103.25,0.0,2.4697179370023075,3.319653073335192,3.207527066568735,2.8745340274254616,,2.8291982330408483,3.078371695225957,3.267023334900318,temp,JJASO,Day
16.75_103.75,0.0,2.4655519506422454,3.289088526813527,3.1659575253422507,2.867461469343653,,2.798075835123837,2.9676611062611333,3.1702448311113063,temp,JJASO,Day
16.75_104.25,0.0,2.4651150560292625,3.2972066255283505,3.13952535585367,2.862667196396029,,2.787109501850625,2.9512594719026697,3.116185178554165,temp,JJASO,Day
16.75_104.75,0.0,0.5258507658934454,2.2973395308941202,2.0238526496818348,1.5214405603498518,,1.3775723825219057,1.6999677452615556,1.931126312546503,temp,JJASO,Day
16.75_105.25,0.0,0.475976837309449,2.305290413826222,1.950667011356681,1.4476412243201557,,1.3710023078364102,1.601171357302139,1.7862843443836316,temp,JJASO,Day
16.75_105.75,0.0,0.5277054917529052,2.2039868133440605,1.9499677184205944,1.360387942143777,,1.4489020869819171,1.415270793880425,1.7146671723529456,temp,JJASO,Day
16.75_106.25,2.9802322387695312e-08,0.4393080419973633,2.0732440693390335,1.828221333148139,1.3070599049662468,,1.253278207912858,1.2645424946771637,1.7669110580729694,temp,JJASO,Day
17.25_101.75,0.0,2.4472987010525062,3.1681723126471706,3.1201161371082407,2.860573955244768,,2.7947242469922076,3.2161070782607366,3.192935372627999,temp,JJASO,Day
17.25_102.25,5.960464477539063e-08,2.4665071483372745,3.315627170247836,3.278682026273365,2.9104186313085605,,2.8961363745768645,3.4615617556292375,3.34886886006945,temp,JJASO,Day
17.25_102.75,0.0,2.4822842048098925,3.418049079531802,3.299617992667111,2.9332274136891865,,2.870647128662354,3.3531078131567185,3.386105614010789,temp,JJASO,Day
17.25_103.25,0.0,2.4705530305732,3.4219453263860307,3.252027009463901,2.9198050498349986,,2.8436455512967505,3.1777822395211603,3.3599646422140093,temp,JJASO,Day
17.25_103.75,0.0,2.466438487773552,3.3976293445649373,3.2056147735357086,2.9045265431252356,,2.8154518549159486,3.0888197544281466,3.2552396328187445,temp,JJASO,Day
17.25_104.25,5.960464477539063e-08,2.479928769560831,3.3962092996103763,3.2132466053771087,2.9031360461263924,,2.830809194999525,3.094716275542675,3.1763244250240508,temp,JJASO,Day
17.25_104.75,0.0,0.5835203261132806,2.4164991253380723,2.115830639319139,1.5659847730356964,,1.416516075563121,1.8839473231138182,1.985517097227743,temp,JJASO,Day
17.25_105.25,0.0,0.49963577682016813,2.3377374161400435,2.0665256566674577,1.446407179286542,,1.4653028019498555,1.5736283491256786,1.8822329764946069,temp,JJASO,Day
17.25_105.75,0.0,0.4573649978403077,2.1945260629213323,1.9979753755258691,1.4030703028537743,,1.40106750311262,1.3559980686334516,1.8950292514758036,temp,JJASO,Day
17.25_106.25,2.9802322387695312e-08,0.43498235762349036,2.1076284032167814,1.910212063037902,1.445352088228402,,1.2591718779880747,1.2703024491397052,1.913089074815563,temp,JJASO,Day
17.75_101.25,0.0,2.437435476889773,3.1268252893147337,3.026457943714958,2.8162832913285807,,2.755268566261307,2.9193026604658074,3.09212195575416,temp,JJASO,Day
17.75_101.75,0.0,2.457542382669841,3.238589654807829,3.209712665980883,2.8727674909898986,,2.856293684026335,3.2032991458758415,3.258561972989388,temp,JJASO,Day
17.75_102.25,0.0,2.472062288002651,3.3803164501161613,3.3154469045312647,2.9210288909289854,,2.9007541330152073,3.4731196841212526,3.358247200260654,temp,JJASO,Day
17.75_102.75,5.960464477539063e-08,2.4943159460885864,3.508991870360102,3.3687160716496805,2.97001973189293,,2.9010103795215287,3.4808010942731897,3.3818141104214265,temp,JJASO,Day
17.75_103.25,5.960464477539063e-08,2.4831068075062386,3.5454715047538747,3.3076335176233944,2.9664135231911843,,2.873010414290742,3.3330704629442462,3.3527580770797503,temp,JJASO,Day
