Coord,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
11.75_104.75,-1.3119999999999994,1.2072499999999984,0.7877500000000008,-3.1917500000000008,,0.4939999999999998,-1.184750000000001,-1.2449999999999992,temp,All,Day
11.75_105.25,-1.0090000000000003,1.0755,0.6859999999999999,-3.063250000000002,,0.47974999999999923,-1.0037499999999984,-1.0567499999999992,temp,All,Day
12.25_103.25,0.46300000000000097,0.8172499999999996,1.0099999999999998,-2.2277499999999986,,0.37049999999999983,-0.9507500000000011,-0.5619999999999976,temp,All,Day
12.25_103.75,-1.0730000000000004,0.40724999999999945,0.4239999999999995,-3.7312499999999993,,0.2517499999999995,-1.4564999999999984,-1.6757500000000007,temp,All,Day
12.25_104.25,-0.718,1.457749999999999,0.8960000000000008,-3.2205000000000013,,0.5472499999999982,-0.8557499999999987,-0.76525,temp,All,Day
12.25_104.75,-1.1029999999999998,1.1802499999999991,0.5220000000000002,-3.378,,0.28800000000000026,-1.1972499999999986,-0.9139999999999997,temp,All,Day
12.25_105.25,-0.8135000000000012,0.9960000000000004,0.6325000000000003,-3.409749999999999,,0.5252500000000015,-1.0700000000000003,-1.1385000000000005,temp,All,Day
12.25_105.75,-0.8390000000000004,0.943249999999999,0.7507500000000018,-3.5817500000000013,,0.6670000000000016,-1.0207500000000014,-1.5847499999999997,temp,All,Day
12.25_106.25,-0.6464999999999996,1.464500000000001,1.1827499999999986,-3.3912499999999994,,1.1400000000000006,-0.6162499999999991,-1.5079999999999991,temp,All,Day
12.25_106.75,-0.16199999999999903,1.5859999999999985,1.724499999999999,-3.1869999999999994,,2.0024999999999995,-0.27275000000000027,-1.2104999999999997,temp,All,Day
12.25_107.25,1.3960000000000008,0.8362500000000015,1.7119999999999997,-1.6844999999999999,,2.2860000000000014,0.7650000000000006,-0.10449999999999982,temp,All,Day
12.25_107.75,0.8129999999999988,0.37950000000000195,2.12125,-1.8010000000000002,,2.149000000000001,0.21799999999999997,-1.4907500000000002,temp,All,Day
12.25_108.25,1.7200000000000024,0.24825000000000053,1.5005000000000006,-1.1092499999999994,,1.9640000000000004,0.27550000000000097,-0.9470000000000027,temp,All,Day
12.75_102.75,0.045999999999999375,1.3642500000000002,0.5389999999999997,-3.1267499999999995,,0.02325000000000088,-0.7262500000000021,-1.1747499999999995,temp,All,Day
12.75_103.25,-0.652000000000001,1.3732500000000005,1.0502500000000001,-4.012749999999999,,1.09525,-0.5915000000000017,-1.6214999999999993,temp,All,Day
12.75_103.75,-0.8885000000000005,1.7292499999999986,1.5642499999999995,-4.015000000000001,,1.3245000000000005,-0.4792499999999986,-1.2949999999999982,temp,All,Day
12.75_104.25,-0.741500000000002,1.6415000000000006,1.1242500000000017,-3.8632500000000007,,0.8182500000000008,-0.8282500000000024,-1.0259999999999998,temp,All,Day
12.75_104.75,-0.8870000000000005,1.3392499999999998,0.6914999999999996,-3.6477500000000003,,0.5644999999999989,-1.1227499999999981,-1.2569999999999997,temp,All,Day
12.75_105.25,-0.7635000000000005,0.71875,0.7110000000000003,-3.958499999999999,,0.615000000000002,-1.3077500000000004,-1.662749999999999,temp,All,Day
12.75_105.75,-0.6790000000000003,0.6487499999999997,0.677249999999999,-4.0707499999999985,,0.8309999999999995,-1.186,-1.81475,temp,All,Day
12.75_106.25,-0.6185000000000009,1.271749999999999,0.9510000000000005,-3.8210000000000015,,0.9432500000000008,-0.9182500000000005,-1.9352500000000017,temp,All,Day
12.75_106.75,-0.007999999999999119,1.4985,1.3275000000000006,-3.485249999999999,,1.3735,-0.3949999999999978,-1.4604999999999997,temp,All,Day
12.75_107.25,0.4555000000000007,1.684750000000001,1.4607500000000009,-3.1464999999999996,,1.2137499999999992,-0.16499999999999915,-1.2065000000000001,temp,All,Day
12.75_107.75,-0.29299999999999926,1.2727500000000003,1.0919999999999987,-3.719999999999999,,1.0632500000000018,-0.6214999999999993,-2.362,temp,All,Day
12.75_108.25,0.43299999999999983,1.0120000000000005,1.383000000000001,-2.9269999999999996,,0.6312499999999996,-0.8390000000000022,-1.9774999999999991,temp,All,Day
