Coord,Var,Season,TScale,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS)
13.75_104.25,temp,All,Mon,0.2974602863165617,1.4084085847885068,1.1712827517604805,3.532442893436368,,1.1794423589040737,0.655075709029286,1.6904541162848985
13.75_104.75,temp,All,Mon,0.1697644211528388,1.2190315270690737,1.0737621160673825,3.694079637850845,,0.9653708483105372,1.133331301656946,2.1258339810560134
13.75_105.25,temp,All,Mon,0.5117947877859584,0.84835060391298,1.0592290043880817,4.190309550054882,,0.9669230964115036,1.5624876854586125,2.302142626194743
13.75_105.75,temp,All,Mon,0.4525943035128193,0.6777927319486379,0.940093899220278,4.196880208235243,,0.9070270515826424,1.3523207035870983,1.9730929004191895
13.75_106.25,temp,All,Mon,0.6352287996853255,0.9610742092551396,0.701704682267481,4.171399567507646,,0.7919316619313442,1.1802127156214628,1.7910998531584184
13.75_106.75,temp,All,Mon,0.4921306971002468,1.2593435151589163,1.0213092839903437,4.04938420975908,,0.9512070263071548,1.0162465506819256,1.4724538564491116
13.75_107.25,temp,All,Mon,0.2862223249475704,1.6428337151570038,1.061533334859868,3.8881709653742735,,1.3323522763939653,0.5899160788405399,1.5555232289441234
13.75_107.75,temp,All,Mon,0.1152390642870878,1.5226602967815994,0.9015092034089416,3.2717161285834937,,1.0743221636437608,0.504428223611675,1.6568900938303728
14.25_102.25,temp,All,Mon,0.1506601810653812,0.3211130274023359,0.3402225260271067,3.4595189917012927,,0.7537542181090395,0.771298993504933,1.7415363165801996
14.25_102.75,temp,All,Mon,0.2797065725217907,0.1563445156520669,0.4700307061736242,4.2316981778573295,,0.4697988091375778,1.1392908235365378,2.255501828494036
